linkedin_account_name_and_company_url
Account Name,LinkedIn Company URL
CGI,https://www.linkedin.com/company/cgi
Quest Software,https://www.linkedin.com/company/quest-softwar
Trinamix,https://www.linkedin.com/company/trinamix
Zuora,https://www.linkedin.com/company/zuora
Applied Materials,https://www.linkedin.com/company/applied-mater
Gretel,https://www.linkedin.com/company/gretelai
CheckPoint Software,https://www.linkedin.com/company/check-point-s
Evisort,https://www.linkedin.com/company/evisort
Paradox,https://www.linkedin.com/company/paradoxolivia
Poshmark,https://www.linkedin.com/company/poshmark
SpaceX,https://www.linkedin.com/company/spacex
TikTok,https://www.linkedin.com/company/tiktok
Workday,https://www.linkedin.com/company/workday
ByteDance,https://www.linkedin.com/company/bytedance
Sana,https://www.linkedin.com/company/sana-labs
OctoML,https://www.linkedin.com/company/octoaicloud
Databricks,https://www.linkedin.com/company/databricks/
Combinely,https://www.linkedin.com/company/combinely/
HappyScribe,https://www.linkedin.com/company/happyscribe
Applaud HR,https://www.linkedin.com/company/applaud-hr
CapCut,https://www.linkedin.com/company/capcut/
Arcads,https://www.linkedin.com/company/arcads-ai
Craft.co,https://www.linkedin.com/company/craft-machine
Flowise,https://www.linkedin.com/company/flowiseai
HTEC Group,https://www.linkedin.com/company/syrmia
PowerSchool Group LLC,https://www.linkedin.com/company/powerschool-
Blackhawk Network,https://www.linkedin.com/company/blackhawk-ne
Toptal,https://www.linkedin.com/company/toptal
Nisum,https://www.linkedin.com/company/nisum-techno
MultiLing,https://www.linkedin.com/company/questel
Constructor.io,https://www.linkedin.com/company/constructor-io
WinWire Technologies,https://www.linkedin.com/company/winwire
WorkSafeBC,https://www.linkedin.com/company/worksafebc
Gigamon Inc,https://www.linkedin.com/company/gigamon
iMerit,https://www.linkedin.com/company/imerit
Fin,https://www.linkedin.com/company/fin-assistant
Assured,https://www.linkedin.com/company/assured
Brisk Teaching,https://www.linkedin.com/company/brisk-teaching
Absentee Shawnee System,http://www.linkedin.com/company/absentee-shaw
Candy.com,https://www.linkedin.com/company/candy.com
Dine Brands Global,https://www.linkedin.com/company/dinebrandsglo
Nile,https://www.linkedin.com/company/nilesecure
Lam Research,https://www.linkedin.com/company/lam-research
Stater Bros. Markets,https://www.linkedin.com/company/staterbrosmar
AngloGold Ashanti,https://www.linkedin.com/company/anglogold-ash
Avista,https://www.linkedin.com/company/avista
Associated Food Stores,https://www.linkedin.com/company/associated-fo
NuVasive,https://www.linkedin.com/company/nuvasive
CooperCompanies,https://www.linkedin.com/company/coopercompa
Kratos Defense and,https://www.linkedin.com/company/kratos-defens
Edison International,https://www.linkedin.com/company/edison-interna
First Solar,https://www.linkedin.com/company/first-solar
Energy Fuels Inc,https://www.linkedin.com/company/energy-fuels-r
Freeport-McMoRan,https://www.linkedin.com/company/freeport-mcm
Granite Construction,https://www.linkedin.com/company/granite-constr
Fortescue,https://www.linkedin.com/company/fortescue
ICU Medical,https://www.linkedin.com/company/icu-medical
Glaukos Corporation,https://www.linkedin.com/company/glaukos-corpo
Las Vegas Sands Corp.,https://www.linkedin.com/company/las-vegas-san
Lamb Weston,https://www.linkedin.com/company/lamb-weston
Microchip Technology Inc.,https://www.linkedin.com/company/microchip-tec
NorthWestern Energy,https://www.linkedin.com/company/northwesterne
MYR Group,https://www.linkedin.com/company/myr-group
Nevro,https://www.linkedin.com/company/nevro-hfx
"Maverik, Inc.",https://www.linkedin.com/company/maverik-inc
Teledyne Incorporated,https://www.linkedin.com/company/teledyne-tech
Bralco Metals ~ Aluminum,https://www.linkedin.com/company/bralcometals-
Ovintiv,https://www.linkedin.com/company/ovintiv
Raley's,https://www.linkedin.com/company/raley%27s
Robinson Helicopter Company,https://www.linkedin.com/company/robinson-helic
Pinnacle West Capital Corporation,https://www.linkedin.com/company/pinnacle-west
Tandem Diabetes Care,https://www.linkedin.com/company/tandemdiabet
"Skyworks Solutions, Inc.",https://www.linkedin.com/company/skyworks-solu
Sinclair Oil Corporation,https://www.linkedin.com/company/sinclair-oil
South32,https://www.linkedin.com/company/south32
Varian,https://www.linkedin.com/company/varian-medica
Sprouts Farmers Market,https://www.linkedin.com/company/sprouts-farme
Woodside Energy,https://www.linkedin.com/company/woodside-ene
Trader Joe's,https://www.linkedin.com/company/trader-joe%27
WinCo Foods,https://www.linkedin.com/company/winco-foods
"Health Catalyst, Inc.",https://www.linkedin.com/company/healthcatalyst
Progressive Leasing,https://www.linkedin.com/company/progressive-le
Comtech Telecommunications,https://www.linkedin.com/company/comtech-telec
Mountain America Credit Union,https://www.linkedin.com/company/mountain-ame
Avetta,https://www.linkedin.com/company/avetta
Hilco Global,https://www.linkedin.com/company/hilcoglobal
Arbonne,https://www.linkedin.com/company/arbonne
Armis,https://www.linkedin.com/company/armis-security
Tabular,https://www.linkedin.com/company/tabular-io
Altium,https://www.linkedin.com/company/altium
,https://www.linkedin.com/company/restaurant365
Delphix Corp,https://www.linkedin.com/company/perforce
Golden State Warriors,https://www.linkedin.com/company/golden-state-w
Green Dot Bank,https://www.linkedin.com/company/green-dot-cor
Online Business Systems,https://www.linkedin.com/company/online-busine
Silver Lake,https://www.linkedin.com/company/silver-lake
UCLA Health,https://www.linkedin.com/company/ucla-health
In-N-Out Burgers,https://www.linkedin.com/company/in-n-out-burge
Adventist Health,https://www.linkedin.com/company/adventist-hea
Yamaha,https://www.linkedin.com/company/yamaha-moto
BJ's Restaurants,https://www.linkedin.com/company/bj%27s-restau
Celero Solutions,https://www.linkedin.com/company/celero-solutio
California Pizza Kitchen,https://www.linkedin.com/company/california-pizz
TTM Technologies,https://www.linkedin.com/company/ttmtechnologi
24 Hour Fitness,https://www.linkedin.com/company/24-hour-fitnes
LA Fitness,https://www.linkedin.com/company/la-fitness
Cost Plus World Market,https://www.linkedin.com/company/cost-plus-wor
PriceSmart,https://www.linkedin.com/company/pricesmart
DPR Construction,https://www.linkedin.com/company/dpr-constructi
Bourns,https://www.linkedin.com/company/bourns
PATH,https://www.linkedin.com/company/path
Jack in the Box,https://www.linkedin.com/company/jack-in-the-bo
PacSun,https://www.linkedin.com/company/pacific-sunwe
Envista,https://www.linkedin.com/company/envista-co
"Guitar Center Inc.,",https://www.linkedin.com/company/the-guitar-cen
University of,https://www.linkedin.com/company/university-of-w
City of Sacramento,https://www.linkedin.com/company/city-of-sacram
Lumentum,https://www.linkedin.com/company/lumentum
PIH Health,https://www.linkedin.com/company/pih-health
Trupanion,https://www.linkedin.com/company/trupanion
Eisenhower Health,https://www.linkedin.com/company/eisenhower-m
Smile Brands,https://www.linkedin.com/company/smile-brands-
Children's Hospital Los Angeles,https://www.linkedin.com/company/childrensla
The Odom Corporation,https://www.linkedin.com/company/the-odom-cor
Niagara Bottling,https://www.linkedin.com/company/niagara-bottlin
Snohomish County PUD,https://www.linkedin.com/company/snohomish-co
EvergreenHealth,https://www.linkedin.com/company/evergreenhea
Conservice,https://www.linkedin.com/company/conservice
Kaweah Delta Hospital,https://www.linkedin.com/company/kaweah-healt
Simpson Manufacturing,https://www.linkedin.com/company/simpson-stron
McKinstry,https://www.linkedin.com/company/mckinstry
Delta Dental of California,https://www.linkedin.com/company/delta-dental
Avalon Health Care Group,https://www.linkedin.com/company/avalon-health
Fred Hutch,https://www.linkedin.com/company/fredhutch
Brinker International,https://www.linkedin.com/company/brinker-intern
Enlyte Group,https://www.linkedin.com/company/enlyte-casualt
Southland Industries,https://www.linkedin.com/company/southland-ind
Actriv Healthcare,https://www.linkedin.com/company/actriv
Seattle Childrens,https://www.linkedin.com/company/seattle-childre
Pechanga Resort Casino,https://www.linkedin.com/company/pechangacas
EllisDon,https://www.linkedin.com/company/ellisdon
ACE PARKING MANAGEMENT,https://www.linkedin.com/company/ace-parking
Palomar Health,https://www.linkedin.com/company/palomar-healt
UW Medicine - Valley Medical Center,https://www.linkedin.com/company/valley-medica
ADEC Innovations,https://www.linkedin.com/company/adecinnovatio
Alameda Health System,https://www.linkedin.com/company/alamedahealt
Swinerton,https://www.linkedin.com/company/swinerton
Ventura Foods,https://www.linkedin.com/company/ventura-foods
State of Utah,https://www.linkedin.com/company/state-of-utah
Cohu,https://www.linkedin.com/company/cohu
Windermere Real Estate,https://www.linkedin.com/company/windermere-r
Vanguard Logistics Services,https://www.linkedin.com/company/vanguard-logi
Pomona Valley Center,https://www.linkedin.com/company/pomona-valle
BioMarin,https://www.linkedin.com/company/biomarin
Heat and Control,https://www.linkedin.com/company/heat-and-cont
Extron,https://www.linkedin.com/company/extron-
Bay Area Rapid Transit (BART),https://www.linkedin.com/company/bart
,https://www.linkedin.com/company/kellermeyer-b
Confluence Health,https://www.linkedin.com/company/confluence-he
Wilson Sonsini,https://www.linkedin.com/company/wilson-sonsin
SK,https://www.linkedin.com/company/super-king-ma
Vistage,https://www.linkedin.com/company/vistage
Centerfield Media,https://www.linkedin.com/company/centerfield-me
ARC,https://www.linkedin.com/company/arc-document
